AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PP,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS,AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PP1,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE1,EMPLOYMENT1,SALARY,LOS,Salary_hike
AF2H,51,K,17,15,G,343,2,99,GS-15,P,XXXX,5,10,F,1,202106,1,168150,20.4,AF2H,51,K,17,15,G,343,2,99,GS-15,P,XXXX,5,10,F,1,202109,1,168150,20.7,0
AF2H,51,J,17,14,E,343,2,99,GS-14,O,XXXX,8,10,F,1,202106,1,159286,11.5,AF2H,51,J,17,14,E,343,2,99,GS-14,O,XXXX,8,10,F,1,202109,1,159286,11.8,0
AF2H,51,J,13,13,F,343,2,99,GS-13,M,XXXX,8,10,F,1,202106,1,134798,16.5,AF2H,51,J,13,13,F,343,2,99,GS-13,M,XXXX,8,10,F,1,202109,1,134798,16.8,0
AF2H,51,G,4,13,D,343,2,99,GS-13,J,XXXX,8,15,F,1,202106,1,103690,5.5,AF2H,51,G,4,13,D,343,2,99,GS-13,J,XXXX,8,15,F,1,202109,1,103690,5.8,0
AF2H,51,D,17,13,C,80,2,99,GS-13,J,XXXX,8,10,F,1,202106,1,107146,4.3,AF2H,51,D,17,13,C,80,2,99,GS-13,J,XXXX,8,10,F,1,202109,1,107146,4.6,0
AF2H,51,F,17,13,B,343,2,99,GS-13,J,XXXX,8,15,F,1,202106,1,107146,1.4,AF2H,51,F,17,13,B,343,2,99,GS-13,J,XXXX,8,15,F,1,202109,1,107146,1.7,0
AF2H,51,F,4,14,B,343,2,99,GS-14,L,XXXX,8,30,F,1,202106,1,122530,1,AF2H,51,F,4,14,B,343,2,99,GS-14,L,XXXX,8,30,F,1,202109,1,126614,1.3,1
AF2K,1,K,17,12,I,1420,1,99,GS-12,J,XXXX,8,10,F,1,202106,1,100739,33,AF2K,1,K,17,12,I,1420,1,99,GS-12,J,XXXX,8,10,F,1,202109,1,100739,33.3,0
AF2K,1,J,21,13,G,170,1,99,GS-13,K,XXXX,8,10,F,1,202106,1,119787,22.5,AF2K,1,J,21,13,G,170,1,99,GS-13,K,XXXX,8,10,F,1,202109,1,119787,22.8,0
AF2K,1,K,13,11,E,1420,1,99,GS-11,F,XXXX,8,10,F,1,202106,1,68960,12.6,AF2K,1,K,13,11,E,1420,1,99,GS-11,G,XXXX,8,10,F,1,202109,1,77582,12.9,1
